name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	region	sample_type	sequencecenter	title
1928.SRS011157.SRX020666.SRR044955	Sample 1928.SRS011157.SRX020666.SRR044955			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	700014956	38.98	-77.11	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011157.SRX020669.SRR045333	Sample 1928.SRS011157.SRX020669.SRR045333			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	700014956	38.98	-77.11	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011159.SRX020660.SRR044847	Sample 1928.SRS011159.SRX020660.SRR044847			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	700014968	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011159.SRX020668.SRR045072	Sample 1928.SRS011159.SRX020668.SRR045072			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	700014968	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011161.SRX020666.SRR047481	Sample 1928.SRS011161.SRX020666.SRR047481			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	host-associated habitat		USA	700014973	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011161.SRX020669.SRR045328	Sample 1928.SRS011161.SRX020669.SRR045328			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	host-associated habitat		USA	700014973	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011163.SRX020515.SRR045361	Sample 1928.SRS011163.SRX020515.SRR045361			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	700014976	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011163.SRX020537.SRR045380	Sample 1928.SRS011163.SRX020537.SRR045380			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	700014976	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011163.SRX020570.SRR045452	Sample 1928.SRS011163.SRX020570.SRR045452			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	700014976	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011165.SRX020666.SRR044923	Sample 1928.SRS011165.SRX020666.SRR044923			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	700014979	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011165.SRX020669.SRR045303	Sample 1928.SRS011165.SRX020669.SRR045303			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	700014979	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011167.SRX020666.SRR044975	Sample 1928.SRS011167.SRX020666.SRR044975			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	host-associated habitat		USA	700014982	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011167.SRX020669.SRR045346	Sample 1928.SRS011167.SRX020669.SRR045346			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	host-associated habitat		USA	700014982	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011169.SRX020660.SRR044843	Sample 1928.SRS011169.SRX020660.SRR044843			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	host-associated habitat		USA	700014985	38.98	-77.11	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
